@title; @kind; @symbols; @prefixes; @group; @parent; @link; @definition; @description
Lux; illuminance; lx;;SI;; https://en.wikipedia.org/wiki/Lux; 1 cd·sr/m^2; The lux (symbol: lx) is the SI derived unit of illuminance, measuring luminous flux per unit area.[1][2] It is equal to one lumen per square metre. In photometry, this is used as a measure of the intensity, as perceived by the human eye, of light that hits or passes through a surface. It is analogous to the radiometric unit watt per square metre, but with the power at each wavelength weighted according to the luminosity function, a standardized model of human visual brightness perception. In English, 'lux' is used as both the singular and plural form.
Becquerel; radioactivity; Bq;;SI;; https://en.wikipedia.org/wiki/Becquerel; 1 s^−1; "The becquerel (English: /bɛkəˈrɛl/; symbol: Bq) is the SI derived unit of radioactivity. One becquerel is defined as the activity of a quantity of radioactive material in which one nucleus decays per second. For applications relating to human health this is a small quantity,[1] and SI multiples of the unit are commonly used."
Gray; absorbed dose; Gy;;SI;; ; 1 m^2⋅s^−2;
Sievert; equivalent dose; Sv;;SI;; ; 1 m^2⋅s^−2;
Katal; catalytic activity; kat;;SI;; ; 1 s^−1⋅mol;

Maxwell; magnetic flux; Mx;;CGS;; https://en.wikipedia.org/wiki/Maxwell_(unit); 1e−8 Wb; The maxwell (symbol: Mx) is the CGS (centimetre–gram–second) unit of magnetic flux (Φ).
Gauss; magnetic induction; G,Gs; n,μ,m;CGS;; https://en.wikipedia.org/wiki/Gauss_(unit); 1e−4 T; The gauss, symbol G (sometimes Gs), is a unit of measurement of magnetic induction, also known as magnetic flux density. The unit is part of the Gaussian system of units, which inherited it from the older CGS-EMU system. It was named after the German mathematician and physicist Carl Friedrich Gauss in 1936. One gauss is defined as one maxwell per square centimetre.
Phot; illuminance; ph; ;CGS;; https://en.wikipedia.org/wiki/Phot; 10000 lx; A phot (ph) is a photometric unit of illuminance, or luminous flux through an area. It is not an SI unit, but rather is associated with the older centimetre–gram–second system of units. The name was coined by André Blondel in 1921.

Foot-candle; illuminance; fc, ft-c; ;US Customary;; https://en.wikipedia.org/wiki/Foot-candle; 10.76 lux; "A foot-candle (sometimes foot candle; abbreviated fc, lm/ft2, or sometimes ft-c) is a non-SI unit of illuminance or light intensity. The foot-candle is defined as one lumen per square foot. This unit is commonly used in lighting layouts in parts of the world where United States customary units are used, mainly the United States.[1] Most of the world uses the corresponding SI derived unit lux, defined as one lumen per square meter."
